ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,6.226,6.226,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,6.226,6.226,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.000,0.000,6.202,6.202,../simfection/connection_engine.py:175(create_connections)
1743/264,0.035,0.000,5.290,0.020,../simfection/connection_engine.py:114(_build_connection_list)
1743,0.020,0.000,2.067,0.001,../simfection/connection_engine.py:101(_available_to_connect)
6864/5148,0.014,0.000,1.191,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1717,0.007,0.000,1.145,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
1717,0.033,0.000,1.033,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
6856,0.018,0.000,1.030,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
14134,0.044,0.000,1.009,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1,0.009,0.009,0.908,0.908,../simfection/connection_engine.py:226(<listcomp>)
1743,0.003,0.000,0.900,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
264,0.001,0.000,0.898,0.003,../simfection/connection_engine.py:84(_max_connections)
1743,0.005,0.000,0.897,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1743,0.010,0.000,0.890,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
15616,0.077,0.000,0.862,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
264,0.800,0.003,0.800,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
1851,0.007,0.000,0.764,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
5142,0.005,0.000,0.709,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:627(_get_loc)
