ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,6.712,6.712,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,6.712,6.712,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,6.689,6.689,../simfection/connection_engine.py:175(create_connections)
1876/299,0.037,0.000,5.719,0.019,../simfection/connection_engine.py:114(_build_connection_list)
1876,0.022,0.000,2.233,0.001,../simfection/connection_engine.py:101(_available_to_connect)
7420/5565,0.015,0.000,1.287,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1856,0.008,0.000,1.238,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
1856,0.036,0.000,1.117,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
7412,0.020,0.000,1.113,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
15264,0.047,0.000,1.093,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1876,0.003,0.000,0.971,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
1876,0.005,0.000,0.968,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1,0.011,0.011,0.966,0.966,../simfection/connection_engine.py:226(<listcomp>)
1876,0.010,0.000,0.960,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
299,0.001,0.000,0.955,0.003,../simfection/connection_engine.py:84(_max_connections)
16873,0.084,0.000,0.931,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
299,0.844,0.003,0.844,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
1996,0.007,0.000,0.829,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
5559,0.005,0.000,0.766,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:627(_get_loc)
5559,0.023,0.000,0.761,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2722(_ixs)
