ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,9.008,9.008,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,9.007,9.007,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,8.981,8.981,../simfection/connection_engine.py:175(create_connections)
2542/368,0.052,0.000,7.784,0.021,../simfection/connection_engine.py:114(_build_connection_list)
2542,0.031,0.000,3.013,0.001,../simfection/connection_engine.py:101(_available_to_connect)
10168/7626,0.021,0.000,1.759,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
2543,0.011,0.000,1.694,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
2543,0.049,0.000,1.529,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
10160,0.027,0.000,1.521,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
20754,0.064,0.000,1.468,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
2542,0.004,0.000,1.324,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
2542,0.007,0.000,1.320,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
2542,0.015,0.000,1.310,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
23054,0.114,0.000,1.263,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
1,0.015,0.015,1.192,1.192,../simfection/connection_engine.py:226(<listcomp>)
368,0.001,0.000,1.177,0.003,../simfection/connection_engine.py:84(_max_connections)
