ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,10.335,10.335,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,10.335,10.335,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,10.307,10.307,../simfection/connection_engine.py:175(create_connections)
2927/433,0.058,0.000,9.002,0.021,../simfection/connection_engine.py:114(_build_connection_list)
2927,0.035,0.000,3.506,0.001,../simfection/connection_engine.py:101(_available_to_connect)
11588/8691,0.024,0.000,2.030,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
2898,0.012,0.000,1.951,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
2898,0.056,0.000,1.762,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
11580,0.031,0.000,1.758,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
23753,0.075,0.000,1.705,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
2927,0.005,0.000,1.539,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
2927,0.008,0.000,1.534,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
2927,0.016,0.000,1.522,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
26302,0.132,0.000,1.465,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
1,0.015,0.015,1.300,1.300,../simfection/connection_engine.py:226(<listcomp>)
3089,0.011,0.000,1.289,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
433,0.001,0.000,1.286,0.003,../simfection/connection_engine.py:84(_max_connections)
8685,0.008,0.000,1.210,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:627(_get_loc)
8685,0.036,0.000,1.203,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2722(_ixs)
5860,0.020,0.000,1.178,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1224(reindex_indexer)
433,1.132,0.003,1.132,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
