ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,6.845,6.845,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,6.844,6.844,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,6.820,6.820,../simfection/connection_engine.py:175(create_connections)
1892/286,0.038,0.000,5.872,0.021,../simfection/connection_engine.py:114(_build_connection_list)
1892,0.022,0.000,2.282,0.001,../simfection/connection_engine.py:101(_available_to_connect)
7512/5634,0.016,0.000,1.330,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1879,0.008,0.000,1.274,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
7504,0.020,0.000,1.152,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
1879,0.037,0.000,1.150,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
15445,0.049,0.000,1.116,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1892,0.003,0.000,0.992,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
1892,0.005,0.000,0.989,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1892,0.011,0.000,0.981,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
17079,0.087,0.000,0.963,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
1,0.011,0.011,0.944,0.944,../simfection/connection_engine.py:226(<listcomp>)
286,0.001,0.000,0.933,0.003,../simfection/connection_engine.py:84(_max_connections)
2018,0.007,0.000,0.844,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
