ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.001,0.001,11.322,11.322,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,11.322,11.322,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,11.293,11.293,../simfection/connection_engine.py:175(create_connections)
3111/470,0.064,0.000,9.707,0.021,../simfection/connection_engine.py:114(_build_connection_list)
3111,0.039,0.000,3.766,0.001,../simfection/connection_engine.py:101(_available_to_connect)
12396/9297,0.026,0.000,2.190,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
3100,0.013,0.000,2.111,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
3100,0.061,0.000,1.907,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
12388,0.033,0.000,1.896,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
25327,0.080,0.000,1.834,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
3111,0.005,0.000,1.653,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
3111,0.008,0.000,1.648,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
3111,0.018,0.000,1.635,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
1,0.020,0.020,1.581,1.581,../simfection/connection_engine.py:226(<listcomp>)
28106,0.142,0.000,1.577,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
