ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,9.557,9.557,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,9.556,9.556,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,9.532,9.532,../simfection/connection_engine.py:175(create_connections)
2684/406,0.054,0.000,8.189,0.020,../simfection/connection_engine.py:114(_build_connection_list)
2684,0.033,0.000,3.185,0.001,../simfection/connection_engine.py:101(_available_to_connect)
10652/7989,0.022,0.000,1.844,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
2664,0.011,0.000,1.776,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
2664,0.052,0.000,1.603,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
10644,0.028,0.000,1.597,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
21833,0.068,0.000,1.554,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
2684,0.004,0.000,1.393,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
2684,0.007,0.000,1.388,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
2684,0.015,0.000,1.377,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
1,0.016,0.016,1.338,1.338,../simfection/connection_engine.py:226(<listcomp>)
24180,0.121,0.000,1.330,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
406,0.001,0.000,1.322,0.003,../simfection/connection_engine.py:84(_max_connections)
