ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,7.710,7.710,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,7.710,7.710,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,7.686,7.686,../simfection/connection_engine.py:175(create_connections)
2155/332,0.044,0.000,6.602,0.020,../simfection/connection_engine.py:114(_build_connection_list)
2155,0.026,0.000,2.583,0.001,../simfection/connection_engine.py:101(_available_to_connect)
8508/6381,0.018,0.000,1.480,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
2128,0.009,0.000,1.429,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
2128,0.042,0.000,1.290,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
8500,0.023,0.000,1.280,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
17536,0.055,0.000,1.264,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
2155,0.003,0.000,1.121,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
2155,0.006,0.000,1.118,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
2155,0.012,0.000,1.109,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
1,0.014,0.014,1.079,1.079,../simfection/connection_engine.py:226(<listcomp>)
19353,0.097,0.000,1.069,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
332,0.001,0.000,1.066,0.003,../simfection/connection_engine.py:84(_max_connections)
