ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.001,0.001,10.705,10.705,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,10.704,10.704,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,10.677,10.677,../simfection/connection_engine.py:175(create_connections)
2930/436,0.061,0.000,9.176,0.021,../simfection/connection_engine.py:114(_build_connection_list)
2930,0.037,0.000,3.570,0.001,../simfection/connection_engine.py:101(_available_to_connect)
11640/8730,0.025,0.000,2.065,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
2911,0.013,0.000,1.991,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
2911,0.058,0.000,1.799,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
11632,0.032,0.000,1.788,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
23860,0.076,0.000,1.741,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
2930,0.005,0.000,1.561,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
2930,0.008,0.000,1.557,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
2930,0.017,0.000,1.544,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
1,0.017,0.017,1.496,1.496,../simfection/connection_engine.py:226(<listcomp>)
26420,0.134,0.000,1.487,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
436,0.002,0.000,1.479,0.003,../simfection/connection_engine.py:84(_max_connections)
3103,0.012,0.000,1.319,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
436,1.307,0.003,1.307,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
8724,0.008,0.000,1.230,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:627(_get_loc)
8724,0.036,0.000,1.222,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2722(_ixs)
5866,0.021,0.000,1.200,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1224(reindex_indexer)
3107,0.012,0.000,1.146,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3399(_take_with_is_copy)
6011,0.011,0.000,1.070,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/ops/common.py:49(new_method)
3107,0.018,0.000,1.054,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3300(take)
3107,0.029,0.000,0.989,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1373(take)
2845215,0.607,0.000,0.959,0.000,{built-in method builtins.isinstance}
17552/17536,0.159,0.000,0.948,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/base.py:276(__new__)
5665,0.034,0.000,0.923,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:4299(reindex)
2757,0.003,0.000,0.880,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/util/_decorators.py:225(wrapper)
2757,0.009,0.000,0.877,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3837(reindex)
2908,0.006,0.000,0.822,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2065(_getitem_tuple)
2908,0.031,0.000,0.764,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1127(_align_series)
5864,0.016,0.000,0.761,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1259(<listcomp>)
11730,0.041,0.000,0.742,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1273(take_nd)
2757,0.008,0.000,0.739,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3732(_reindex_axes)
2757,0.007,0.000,0.731,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3749(_reindex_index)
2911,0.021,0.000,0.720,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:944(setter)
11686,0.021,0.000,0.719,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:107(_shallow_copy)
11690,0.034,0.000,0.698,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/base.py:544(_shallow_copy_with_infer)
41068,0.068,0.000,0.691,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/blocks.py:3029(make_block)
59203/53385,0.069,0.000,0.684,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:5257(__getattr__)
2908,0.007,0.000,0.680,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/ops/methods.py:94(f)
2910,0.025,0.000,0.670,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1364(_getitem_lowerdim)
2759,0.017,0.000,0.608,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:4584(_reindex_with_indexers)
6011,0.016,0.000,0.600,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/ops/__init__.py:448(_construct_result)
11842,0.025,0.000,0.599,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/range.py:387(_shallow_copy)
2930,0.025,0.000,0.591,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/base.py:4993(drop)
11730,0.102,0.000,0.590,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/algorithms.py:1565(take_nd)
29331,0.062,0.000,0.543,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1467(__init__)
2908,0.010,0.000,0.536,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/ops/__init__.py:495(wrapper)
3103,0.012,0.000,0.505,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/ops/__init__.py:518(wrapper)
11854,0.052,0.000,0.502,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/construction.py:388(sanitize_array)
184913,0.094,0.000,0.450,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/dtypes/base.py:247(is_dtype)
6015,0.013,0.000,0.426,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexes/base.py:744(take)
