ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,7.000,7.000,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,6.999,6.999,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,6.975,6.975,../simfection/connection_engine.py:175(create_connections)
1933/293,0.039,0.000,6.001,0.020,../simfection/connection_engine.py:114(_build_connection_list)
1933,0.023,0.000,2.335,0.001,../simfection/connection_engine.py:101(_available_to_connect)
7664/5748,0.016,0.000,1.355,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1917,0.008,0.000,1.303,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
1917,0.037,0.000,1.176,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
7656,0.021,0.000,1.173,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
15734,0.050,0.000,1.139,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1933,0.003,0.000,1.019,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
1933,0.005,0.000,1.016,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1933,0.011,0.000,1.007,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
17416,0.088,0.000,0.981,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
1,0.012,0.012,0.970,0.970,../simfection/connection_engine.py:226(<listcomp>)
293,0.001,0.000,0.958,0.003,../simfection/connection_engine.py:84(_max_connections)
