ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,6.732,6.732,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,6.732,6.732,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.001,0.001,6.709,6.709,../simfection/connection_engine.py:175(create_connections)
1885/294,0.037,0.000,5.732,0.019,../simfection/connection_engine.py:114(_build_connection_list)
1885,0.022,0.000,2.238,0.001,../simfection/connection_engine.py:101(_available_to_connect)
7440/5580,0.015,0.000,1.292,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1861,0.008,0.000,1.242,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
1861,0.036,0.000,1.120,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
7432,0.020,0.000,1.119,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
15331,0.048,0.000,1.094,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1885,0.003,0.000,0.973,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
1,0.011,0.011,0.972,0.972,../simfection/connection_engine.py:226(<listcomp>)
1885,0.005,0.000,0.970,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1885,0.010,0.000,0.962,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
294,0.001,0.000,0.960,0.003,../simfection/connection_engine.py:84(_max_connections)
16927,0.085,0.000,0.936,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
294,0.852,0.003,0.852,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
2010,0.007,0.000,0.829,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
